name	taxonomy_id	taxonomy_lvl	119_S24.C.bracken_num	119_S24.C.bracken_frac	120_S25.C.bracken_num	120_S25.C.bracken_frac	140_S26.C.bracken_num	140_S26.C.bracken_frac	147_S27.C.bracken_num	147_S27.C.bracken_frac	177_S28.C.bracken_num	177_S28.C.bracken_frac	178_S29.C.bracken_num	178_S29.C.bracken_frac	179_S31.C.bracken_num	179_S31.C.bracken_frac	209_S30.C.bracken_num	209_S30.C.bracken_frac	214_S32.C.bracken_num	214_S32.C.bracken_frac	82_S21.C.bracken_num	82_S21.C.bracken_frac	88_S22.C.bracken_num	88_S22.C.bracken_frac	99_S23.C.bracken_num	99_S23.C.bracken_frac	BLB_S18.C.bracken_num	BLB_S18.C.bracken_frac	BLB_WG4.C.bracken_num	BLB_WG4.C.bracken_frac	BLR_S17.C.bracken_num	BLR_S17.C.bracken_frac	BLR_WG4.C.bracken_num	BLR_WG4.C.bracken_frac	BLS_S16.C.bracken_num	BLS_S16.C.bracken_frac	DC06_S1.C.bracken_num	DC06_S1.C.bracken_frac	DC10_S2.C.bracken_num	DC10_S2.C.bracken_frac	DC11_S3.C.bracken_num	DC11_S3.C.bracken_frac	DC17_S4.C.bracken_num	DC17_S4.C.bracken_frac	DM13_S9.C.bracken_num	DM13_S9.C.bracken_frac	DM14_S10.C.bracken_num	DM14_S10.C.bracken_frac	DM15_S11.C.bracken_num	DM15_S11.C.bracken_frac	DM16_S12.C.bracken_num	DM16_S12.C.bracken_frac	GG01_S14.C.bracken_num	GG01_S14.C.bracken_frac	GH01_S13.C.bracken_num	GH01_S13.C.bracken_frac	GN13_S5.C.bracken_num	GN13_S5.C.bracken_frac	GN15_S6.C.bracken_num	GN15_S6.C.bracken_frac	GN18_S7.C.bracken_num	GN18_S7.C.bracken_frac	GN19_S8.C.bracken_num	GN19_S8.C.bracken_frac	NEG_S33.C.bracken_num	NEG_S33.C.bracken_frac	OC01_S15.C.bracken_num	OC01_S15.C.bracken_frac
Tepidiformia	2682225	C	115	0.00002	206	0.00003	17	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000	46	0.00000	16	0.00000	0	0.00000	16	0.00000	30	0.00001	17	0.00000	33	0.00000	29	0.00000	19	0.00000	47	0.00000	97	0.00001	26	0.00000	157	0.00001	98	0.00001	99	0.00002	243	0.00003	68	0.00001	321	0.00003	39	0.00001	24	0.00000	0	0.00000	59	0.00001	201	0.00002	126	0.00001	0	0.00000	47	0.00001
Bryopsida	3214	C	553	0.00009	617	0.00009	824	0.00008	950	0.00009	690	0.00006	604	0.00006	746	0.00008	749	0.00007	770	0.00009	626	0.00007	1729	0.00017	532	0.00010	808	0.00009	1686	0.00017	567	0.00010	1059	0.00011	1037	0.00010	1110	0.00010	327	0.00003	1265	0.00010	576	0.00005	420	0.00008	991	0.00010	466	0.00005	494	0.00005	1103	0.00016	613	0.00005	1251	0.00017	1255	0.00012	983	0.00009	546	0.00006	0	0.00000	877	0.00012
Ellioviricetes	2497576	C	107	0.00002	107	0.00002	73	0.00001	112	0.00001	222	0.00002	199	0.00002	212	0.00002	169	0.00002	122	0.00001	107	0.00001	135	0.00001	64	0.00001	239	0.00003	83	0.00001	187	0.00003	127	0.00001	164	0.00002	170	0.00001	132	0.00001	177	0.00001	113	0.00001	73	0.00001	241	0.00002	218	0.00003	189	0.00002	50	0.00001	3624	0.00030	86	0.00001	103	0.00001	135	0.00001	96	0.00001	0	0.00000	94	0.00001
Chlamydiia	204429	C	250	0.00004	278	0.00004	427	0.00004	413	0.00004	729	0.00007	745	0.00007	720	0.00008	236	0.00002	243	0.00003	687	0.00007	513	0.00005	222	0.00004	417	0.00005	2834	0.00029	282	0.00005	2385	0.00024	2300	0.00021	1150	0.00010	218	0.00002	2399	0.00019	867	0.00008	304	0.00006	1576	0.00016	1376	0.00016	672	0.00007	1382	0.00020	895	0.00008	368	0.00005	1357	0.00013	1208	0.00011	976	0.00010	0	0.00000	231	0.00003
Dinophyceae	2864	C	1033	0.00016	1359	0.00020	2383	0.00024	2238	0.00020	2353	0.00021	1649	0.00016	1802	0.00019	2569	0.00026	1747	0.00020	2168	0.00023	1982	0.00019	545	0.00010	1108	0.00012	44658	0.00461	1795	0.00031	25916	0.00264	34115	0.00315	879	0.00008	2229	0.00020	15306	0.00123	915	0.00009	1176	0.00021	26265	0.00272	11810	0.00138	9267	0.00098	12145	0.00173	1449	0.00012	464	0.00006	13267	0.00130	879	0.00008	6687	0.00071	0	0.00000	1039	0.00014
Thermoprotei	183924	C	2531	0.00040	2437	0.00036	1485	0.00015	1715	0.00016	2420	0.00022	1986	0.00020	2549	0.00027	1653	0.00017	3319	0.00039	1078	0.00012	1357	0.00013	925	0.00017	896	0.00010	3334	0.00034	664	0.00011	2427	0.00025	2302	0.00021	2365	0.00020	808	0.00007	2324	0.00019	1885	0.00018	911	0.00016	1670	0.00017	1827	0.00021	1029	0.00011	3099	0.00044	1504	0.00013	1222	0.00016	1900	0.00019	2899	0.00026	982	0.00010	0	0.00000	968	0.00013
Agaricomycetes	155619	C	8101	0.00126	8783	0.00131	10024	0.00101	13144	0.00119	7394	0.00066	6224	0.00062	6340	0.00067	9408	0.00094	6533	0.00076	6794	0.00073	7096	0.00069	9287	0.00170	9471	0.00105	17092	0.00176	6652	0.00113	11233	0.00114	24108	0.00223	13304	0.00115	3974	0.00035	21124	0.00170	7048	0.00066	4057	0.00073	7580	0.00078	7054	0.00082	10254	0.00109	6288	0.00090	7986	0.00067	9064	0.00122	7593	0.00075	11342	0.00103	6470	0.00069	0	0.00000	6170	0.00082
Caldisericia	693071	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	95	0.00001	38	0.00000	89	0.00001	11	0.00000	0	0.00000	13	0.00000	27	0.00000	0	0.00000	22	0.00000	254	0.00003	0	0.00000	192	0.00002	302	0.00003	24	0.00000	0	0.00000	42	0.00000	16	0.00000	14	0.00000	14	0.00000	16	0.00000	16	0.00000	987	0.00014	17	0.00000	0	0.00000	102	0.00001	11	0.00000	0	0.00000	0	0.00000	0	0.00000
Thermoplasmata	183967	C	234	0.00004	166	0.00002	348	0.00004	389	0.00004	416	0.00004	319	0.00003	429	0.00005	414	0.00004	401	0.00005	479	0.00005	440	0.00004	277	0.00005	511	0.00006	2010	0.00021	374	0.00006	3739	0.00038	3965	0.00037	708	0.00006	235	0.00002	1013	0.00008	463	0.00004	238	0.00004	845	0.00009	518	0.00006	683	0.00007	579	0.00008	740	0.00006	289	0.00004	946	0.00009	581	0.00005	337	0.00004	0	0.00000	323	0.00004
Hexanauplia	72037	C	17355	0.00271	18362	0.00274	56477	0.00571	66008	0.00600	36049	0.00324	32155	0.00319	31726	0.00337	26825	0.00269	27159	0.00315	49107	0.00528	48575	0.00471	16281	0.00298	26881	0.00298	29258	0.00302	18924	0.00323	30936	0.00315	36232	0.00335	29871	0.00258	9200	0.00082	27001	0.00217	19479	0.00183	11142	0.00202	23795	0.00246	14252	0.00167	14701	0.00156	26126	0.00372	22211	0.00186	20414	0.00274	23688	0.00233	25861	0.00235	11695	0.00125	0	0.00000	19511	0.00258
Collembola	30001	C	623	0.00010	548	0.00008	999	0.00010	2769	0.00025	2142	0.00019	1721	0.00017	1599	0.00017	1234	0.00012	2522	0.00029	1353	0.00015	1118	0.00011	400	0.00007	879	0.00010	2571	0.00027	903	0.00015	4033	0.00041	3506	0.00032	8260	0.00071	2007	0.00018	3087	0.00025	3613	0.00034	3563	0.00065	580	0.00006	1842	0.00022	1678	0.00018	1948	0.00028	694	0.00006	811	0.00011	687	0.00007	1067	0.00010	406	0.00004	0	0.00000	1235	0.00016
Thermoleophilia	1497346	C	64	0.00001	71	0.00001	4871	0.00049	133	0.00001	228	0.00002	66	0.00001	83	0.00001	121	0.00001	6182	0.00072	94	0.00001	76	0.00001	123	0.00002	301	0.00003	3087	0.00032	221	0.00004	568	0.00006	1316	0.00012	1618	0.00014	1700	0.00015	8433	0.00068	7347	0.00069	6336	0.00115	3923	0.00041	4206	0.00049	3562	0.00038	3275	0.00047	1782	0.00015	221	0.00003	979	0.00010	8397	0.00076	9875	0.00105	0	0.00000	68	0.00001
Chrysophyceae	2825	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	44	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	620	0.00006	0	0.00000	82	0.00001	1958	0.00018	0	0.00000	0	0.00000	0	0.00000	91	0.00001	0	0.00000	84	0.00001	26	0.00000	70	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Polytrichopsida	113509	C	66	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	15	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	177	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	36	0.00000
Acidithiobacillia	1807140	C	163	0.00003	111	0.00002	98	0.00001	78	0.00001	149	0.00001	130	0.00001	111	0.00001	191	0.00002	215	0.00002	80	0.00001	47	0.00000	232	0.00004	232	0.00003	89	0.00001	217	0.00004	94	0.00001	56	0.00001	767	0.00007	221	0.00002	558	0.00004	708	0.00007	147	0.00003	332	0.00003	541	0.00006	411	0.00004	421	0.00006	216	0.00002	43	0.00001	200	0.00002	537	0.00005	527	0.00006	0	0.00000	309	0.00004
