name	taxonomy_id	taxonomy_lvl	119_S24.F.bracken_num	119_S24.F.bracken_frac	120_S25.F.bracken_num	120_S25.F.bracken_frac	140_S26.F.bracken_num	140_S26.F.bracken_frac	147_S27.F.bracken_num	147_S27.F.bracken_frac	177_S28.F.bracken_num	177_S28.F.bracken_frac	178_S29.F.bracken_num	178_S29.F.bracken_frac	179_S31.F.bracken_num	179_S31.F.bracken_frac	209_S30.F.bracken_num	209_S30.F.bracken_frac	214_S32.F.bracken_num	214_S32.F.bracken_frac	82_S21.F.bracken_num	82_S21.F.bracken_frac	88_S22.F.bracken_num	88_S22.F.bracken_frac	99_S23.F.bracken_num	99_S23.F.bracken_frac	BLB_S18.F.bracken_num	BLB_S18.F.bracken_frac	BLB_WG4.F.bracken_num	BLB_WG4.F.bracken_frac	BLR_S17.F.bracken_num	BLR_S17.F.bracken_frac	BLR_WG4.F.bracken_num	BLR_WG4.F.bracken_frac	BLS_S16.F.bracken_num	BLS_S16.F.bracken_frac	DC06_S1.F.bracken_num	DC06_S1.F.bracken_frac	DC10_S2.F.bracken_num	DC10_S2.F.bracken_frac	DC11_S3.F.bracken_num	DC11_S3.F.bracken_frac	DC17_S4.F.bracken_num	DC17_S4.F.bracken_frac	DM13_S9.F.bracken_num	DM13_S9.F.bracken_frac	DM14_S10.F.bracken_num	DM14_S10.F.bracken_frac	DM15_S11.F.bracken_num	DM15_S11.F.bracken_frac	DM16_S12.F.bracken_num	DM16_S12.F.bracken_frac	GG01_S14.F.bracken_num	GG01_S14.F.bracken_frac	GH01_S13.F.bracken_num	GH01_S13.F.bracken_frac	GN13_S5.F.bracken_num	GN13_S5.F.bracken_frac	GN15_S6.F.bracken_num	GN15_S6.F.bracken_frac	GN18_S7.F.bracken_num	GN18_S7.F.bracken_frac	GN19_S8.F.bracken_num	GN19_S8.F.bracken_frac	NEG_S33.F.bracken_num	NEG_S33.F.bracken_frac	OC01_S15.F.bracken_num	OC01_S15.F.bracken_frac
Clostridiales Family XVI. Incertae Sedis	543347	F	44	0.00001	30	0.00000	16	0.00000	0	0.00000	30	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	31	0.00000	23	0.00000	77	0.00001	115	0.00001	118	0.00002	86	0.00001	90	0.00001	279	0.00002	44	0.00000	333	0.00003	66	0.00001	17	0.00000	103	0.00001	102	0.00001	148	0.00002	0	0.00000	41	0.00000	54	0.00001	1556	0.00015	171	0.00002	67	0.00001	0	0.00000	24	0.00000
Smilacaceae	4703	F	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	70	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Kaistiaceae	2831111	F	0	0.00000	0	0.00000	177	0.00002	59	0.00001	28	0.00000	22	0.00000	17	0.00000	10	0.00000	0	0.00000	22	0.00000	0	0.00000	20	0.00000	112	0.00001	977	0.00010	32	0.00001	283	0.00003	89	0.00001	320	0.00003	180	0.00002	1349	0.00011	1290	0.00012	443	0.00008	996	0.00010	571	0.00007	1091	0.00012	232	0.00003	180	0.00002	29	0.00000	1884	0.00019	450	0.00004	881	0.00009	0	0.00000	13	0.00000
Maricaulaceae	2800061	F	34	0.00001	34	0.00001	49	0.00000	123	0.00001	124	0.00001	51	0.00001	49	0.00001	90	0.00001	63	0.00001	51	0.00001	117	0.00001	124	0.00002	279	0.00003	629	0.00006	137	0.00002	1155	0.00012	286	0.00003	489	0.00004	281	0.00003	1424	0.00011	1397	0.00013	570	0.00010	1822	0.00019	843	0.00010	1675	0.00018	325	0.00005	448	0.00004	77	0.00001	230	0.00002	574	0.00005	750	0.00008	0	0.00000	107	0.00001
Planorbidae	6524	F	1680	0.00026	1782	0.00027	1912	0.00019	2030	0.00018	1651	0.00015	1098	0.00011	1265	0.00013	1209	0.00012	1090	0.00013	1348	0.00015	1505	0.00015	698	0.00013	917	0.00010	1638	0.00017	551	0.00009	2936	0.00030	1970	0.00018	886	0.00008	418	0.00004	847	0.00007	752	0.00007	477	0.00009	779	0.00008	568	0.00007	643	0.00007	468	0.00007	1068	0.00009	759	0.00010	1719	0.00017	1547	0.00014	586	0.00006	0	0.00000	829	0.00011
Plataspidae	236385	F	0	0.00000	0	0.00000	0	0.00000	0	0.00000	13	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Loranthaceae	3963	F	83	0.00001	0	0.00000	129	0.00001	85	0.00001	147	0.00001	94	0.00001	168	0.00002	56	0.00001	53	0.00001	0	0.00000	119	0.00001	0	0.00000	63	0.00001	0	0.00000	59	0.00001	0	0.00000	0	0.00000	39	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	39	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	90	0.00001	205	0.00002	0	0.00000	49	0.00001
Platysternidae	1579279	F	0	0.00000	0	0.00000	0	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pyroglyphidae	6952	F	1019	0.00016	972	0.00015	1673	0.00017	1875	0.00017	2005	0.00018	1770	0.00018	1710	0.00018	1883	0.00019	1296	0.00015	1479	0.00016	1277	0.00012	812	0.00015	1329	0.00015	1397	0.00014	853	0.00015	1011	0.00010	1948	0.00018	1462	0.00013	535	0.00005	1096	0.00009	1075	0.00010	689	0.00012	1071	0.00011	631	0.00007	719	0.00008	1213	0.00017	1192	0.00010	1450	0.00019	1796	0.00018	1590	0.00014	595	0.00006	0	0.00000	951	0.00013
Collemataceae	169194	F	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000
Heteropterygidae	262140	F	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	168	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Parulidae	400782	F	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Macrouridae	30761	F	67	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	3079	0.00031	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	22	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Alligatoridae	1294636	F	1333	0.00021	1281	0.00019	1878	0.00019	2182	0.00020	1732	0.00016	1432	0.00014	1398	0.00015	1822	0.00018	1336	0.00016	1781	0.00019	1222	0.00012	1196	0.00022	1569	0.00017	772	0.00008	1073	0.00018	914	0.00009	1192	0.00011	2351	0.00020	804	0.00007	1652	0.00013	1536	0.00014	940	0.00017	1500	0.00016	1006	0.00012	1086	0.00012	667	0.00010	1101	0.00009	1287	0.00017	1740	0.00017	1658	0.00015	732	0.00008	0	0.00000	1232	0.00016
Raillietiellidae	2609959	F	0	0.00000	0	0.00000	6252	0.00063	3310	0.00030	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Cionidae	7717	F	295	0.00005	276	0.00004	779	0.00008	835	0.00008	501	0.00005	385	0.00004	423	0.00004	524	0.00005	476	0.00006	512	0.00006	635	0.00006	214	0.00004	439	0.00005	493	0.00005	326	0.00006	466	0.00005	497	0.00005	549	0.00005	225	0.00002	765	0.00006	366	0.00003	166	0.00003	370	0.00004	346	0.00004	395	0.00004	352	0.00005	327	0.00003	386	0.00005	270	0.00003	384	0.00003	173	0.00002	0	0.00000	340	0.00005
Psephenidae	186983	F	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	130	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Marattiaceae	3265	F	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	18	0.00000	0	0.00000	22	0.00000	0	0.00000	0	0.00000	195	0.00002	0	0.00000	39	0.00000	0	0.00000	27	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Chroomonadaceae	589345	F	0	0.00000	25	0.00000	60	0.00001	49	0.00000	60	0.00001	73	0.00001	62	0.00001	0	0.00000	44	0.00001	0	0.00000	49	0.00000	0	0.00000	18	0.00000	101	0.00001	33	0.00001	46	0.00000	0	0.00000	38	0.00000	0	0.00000	46	0.00000	0	0.00000	24	0.00000	114	0.00001	14	0.00000	64	0.00001	0	0.00000	0	0.00000	28	0.00000	60	0.00001	50	0.00000	28	0.00000	0	0.00000	0	0.00000
Boletaceae	5368	F	28	0.00000	24	0.00000	12	0.00000	242	0.00002	19	0.00000	19	0.00000	13	0.00000	14	0.00000	21	0.00000	0	0.00000	10	0.00000	34	0.00001	13	0.00000	0	0.00000	0	0.00000	0	0.00000	16	0.00000	41	0.00000	0	0.00000	0	0.00000	31	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	25	0.00000	12	0.00000	0	0.00000	0	0.00000
Pilotrichaceae	114667	F	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	19	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Kolmioviridae	2842321	F	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	17	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Gloeochaetaceae	38266	F	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	32	0.00000	0	0.00000	0	0.00000	18	0.00000	0	0.00000	26	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
