# Taxid	Sci.Name	Rank	Named Lineage	Taxid Lineage
31	Myxococcaceae	family	root,cellular organisms,Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Myxococcales,Cystobacterineae,Myxococcaceae	1,131567,2,1224,68525,28221,29,80811,31
39	Archangiaceae	family	root,cellular organisms,Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae	1,131567,2,1224,68525,28221,29,80811,39
49	Polyangiaceae	family	root,cellular organisms,Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae	1,131567,2,1224,68525,28221,29,80812,49
126	Planctomycetaceae	family	root,cellular organisms,Bacteria,PVC group,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae	1,131567,2,1783257,203682,203683,112,126
137	Spirochaetaceae	family	root,cellular organisms,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae	1,131567,2,203691,203692,136,137
170	Leptospiraceae	family	root,cellular organisms,Bacteria,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae	1,131567,2,203691,203692,1643688,170
403	Methylococcaceae	family	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae	1,131567,2,1224,1236,135618,403
433	Acetobacteraceae	family	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae	1,131567,2,1224,28211,204441,433
444	Legionellaceae	family	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae	1,131567,2,1224,1236,118969,444
468	Moraxellaceae	family	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae	1,131567,2,1224,1236,2887326,468
481	Neisseriaceae	family	root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae	1,131567,2,1224,28216,206351,481
506	Alcaligenaceae	family	root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae	1,131567,2,1224,28216,80840,506
543	Enterobacteriaceae	family	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae	1,131567,2,1224,1236,91347,543
