name	taxonomy_id	taxonomy_lvl	119_S24.G.bracken_num	119_S24.G.bracken_frac	120_S25.G.bracken_num	120_S25.G.bracken_frac	140_S26.G.bracken_num	140_S26.G.bracken_frac	147_S27.G.bracken_num	147_S27.G.bracken_frac	177_S28.G.bracken_num	177_S28.G.bracken_frac	178_S29.G.bracken_num	178_S29.G.bracken_frac	179_S31.G.bracken_num	179_S31.G.bracken_frac	209_S30.G.bracken_num	209_S30.G.bracken_frac	214_S32.G.bracken_num	214_S32.G.bracken_frac	82_S21.G.bracken_num	82_S21.G.bracken_frac	88_S22.G.bracken_num	88_S22.G.bracken_frac	99_S23.G.bracken_num	99_S23.G.bracken_frac	BLB_S18.G.bracken_num	BLB_S18.G.bracken_frac	BLB_WG4.G.bracken_num	BLB_WG4.G.bracken_frac	BLR_S17.G.bracken_num	BLR_S17.G.bracken_frac	BLR_WG4.G.bracken_num	BLR_WG4.G.bracken_frac	BLS_S16.G.bracken_num	BLS_S16.G.bracken_frac	DC06_S1.G.bracken_num	DC06_S1.G.bracken_frac	DC10_S2.G.bracken_num	DC10_S2.G.bracken_frac	DC11_S3.G.bracken_num	DC11_S3.G.bracken_frac	DC17_S4.G.bracken_num	DC17_S4.G.bracken_frac	DM13_S9.G.bracken_num	DM13_S9.G.bracken_frac	DM14_S10.G.bracken_num	DM14_S10.G.bracken_frac	DM15_S11.G.bracken_num	DM15_S11.G.bracken_frac	DM16_S12.G.bracken_num	DM16_S12.G.bracken_frac	GG01_S14.G.bracken_num	GG01_S14.G.bracken_frac	GH01_S13.G.bracken_num	GH01_S13.G.bracken_frac	GN13_S5.G.bracken_num	GN13_S5.G.bracken_frac	GN15_S6.G.bracken_num	GN15_S6.G.bracken_frac	GN18_S7.G.bracken_num	GN18_S7.G.bracken_frac	GN19_S8.G.bracken_num	GN19_S8.G.bracken_frac	NEG_S33.G.bracken_num	NEG_S33.G.bracken_frac	OC01_S15.G.bracken_num	OC01_S15.G.bracken_frac
Pongo	9599	G	3291	0.00052	3145	0.00047	6100	0.00062	6313	0.00057	5561	0.00050	4621	0.00046	4603	0.00049	5182	0.00052	4122	0.00048	5574	0.00060	5405	0.00053	2378	0.00044	3167	0.00035	1065	0.00011	2029	0.00035	1573	0.00016	1448	0.00013	3660	0.00032	1049	0.00009	2193	0.00018	2735	0.00026	1796	0.00033	1332	0.00014	1062	0.00012	1058	0.00011	1025	0.00015	5222	0.00044	5747	0.00077	2885	0.00028	2895	0.00026	1183	0.00013	0	0.00000	3023	0.00040
Tetrancistrum	67529	G	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	15	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Ordospora	174684	G	0	0.00000	0	0.00000	17	0.00000	14	0.00000	21	0.00000	18	0.00000	17	0.00000	28	0.00000	261	0.00003	12	0.00000	11	0.00000	0	0.00000	20	0.00000	0	0.00000	10	0.00000	24	0.00000	0	0.00000	33	0.00000	0	0.00000	44	0.00000	0	0.00000	0	0.00000	18	0.00000	31	0.00000	0	0.00000	34	0.00000	17	0.00000	12	0.00000	10	0.00000	28	0.00000	33	0.00000	0	0.00000	20	0.00000
Deltaentomopoxvirus	2733302	G	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	82	0.00001	0	0.00000	269	0.00003	117	0.00001	0	0.00000	0	0.00000	22	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	18	0.00000	63	0.00001	0	0.00000	10	0.00000	0	0.00000	0	0.00000
Arcanobacterium	28263	G	14	0.00000	12	0.00000	0	0.00000	13	0.00000	37	0.00000	19	0.00000	18	0.00000	22	0.00000	30	0.00000	17	0.00000	21	0.00000	36	0.00001	85	0.00001	53	0.00001	66	0.00001	76	0.00001	54	0.00001	371	0.00003	173	0.00002	555	0.00004	453	0.00004	121	0.00002	225	0.00002	127	0.00001	482	0.00005	109	0.00002	31	0.00000	22	0.00000	53	0.00001	209	0.00002	248	0.00003	0	0.00000	18	0.00000
Limulus	6849	G	1084	0.00017	1151	0.00017	5459	0.00055	6383	0.00058	1350	0.00012	1110	0.00011	1088	0.00012	1203	0.00012	962	0.00011	3810	0.00041	4803	0.00047	1494	0.00027	1013	0.00011	1333	0.00014	663	0.00011	1108	0.00011	1140	0.00011	1176	0.00010	366	0.00003	1015	0.00008	795	0.00007	472	0.00009	1337	0.00014	779	0.00009	726	0.00008	2951	0.00042	978	0.00008	1054	0.00014	738	0.00007	1343	0.00012	509	0.00005	0	0.00000	728	0.00010
Sepiella	153279	G	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	56	0.00001	0	0.00000	74	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Haliotis	6452	G	2960	0.00046	2860	0.00043	2032	0.00021	2221	0.00020	3600	0.00032	3043	0.00030	3419	0.00036	3389	0.00034	2342	0.00027	1974	0.00021	2375	0.00023	1372	0.00025	2464	0.00027	1786	0.00018	1632	0.00028	2022	0.00021	3364	0.00031	2876	0.00025	894	0.00008	2035	0.00016	1963	0.00019	1282	0.00023	1498	0.00016	1293	0.00015	1191	0.00013	1748	0.00025	2253	0.00019	2000	0.00027	1504	0.00015	1857	0.00017	924	0.00010	0	0.00000	1680	0.00022
Cyclemys	74915	G	0	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Copiapoa	154416	G	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	27	0.00000	0	0.00000	0	0.00000	0	0.00000
