Taxid	Sci.Name	Rank	Named Lineage	Taxid Lineage
6	Azorhizobium	genus	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Azorhizobium	1,131567,2,1224,28211,356,335928,6
10	Cellvibrio	genus	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio	1,131567,2,1224,1236,1706369,1706371,10
13	Dictyoglomus	genus	root,cellular organisms,Bacteria,Dictyoglomi,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,Dictyoglomus	1,131567,2,68297,203486,203487,203488,13
16	Methylophilus	genus	root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylophilus	1,131567,2,1224,28216,32003,32011,16
18	Pelobacter	genus	root,cellular organisms,Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter	1,131567,2,1224,68525,28221,69541,213421,18
20	Phenylobacterium	genus	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium	1,131567,2,1224,28211,204458,76892,20
22	Shewanella	genus	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella	1,131567,2,1224,1236,135622,267890,22
32	Myxococcus	genus	root,cellular organisms,Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Myxococcales,Cystobacterineae,Myxococcaceae,Myxococcus	1,131567,2,1224,68525,28221,29,80811,31,32
40	Stigmatella	genus	root,cellular organisms,Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Stigmatella	1,131567,2,1224,68525,28221,29,80811,39,40
42	Cystobacter	genus	root,cellular organisms,Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Cystobacter	1,131567,2,1224,68525,28221,29,80811,39,42
44	Melittangium	genus	root,cellular organisms,Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Melittangium	1,131567,2,1224,68525,28221,29,80811,39,44
47	Archangium	genus	root,cellular organisms,Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Archangium	1,131567,2,1224,68525,28221,29,80811,39,47
