name	taxonomy_id	taxonomy_lvl	119_S24.O.bracken_num	119_S24.O.bracken_frac	120_S25.O.bracken_num	120_S25.O.bracken_frac	140_S26.O.bracken_num	140_S26.O.bracken_frac	147_S27.O.bracken_num	147_S27.O.bracken_frac	177_S28.O.bracken_num	177_S28.O.bracken_frac	178_S29.O.bracken_num	178_S29.O.bracken_frac	179_S31.O.bracken_num	179_S31.O.bracken_frac	209_S30.O.bracken_num	209_S30.O.bracken_frac	214_S32.O.bracken_num	214_S32.O.bracken_frac	82_S21.O.bracken_num	82_S21.O.bracken_frac	88_S22.O.bracken_num	88_S22.O.bracken_frac	99_S23.O.bracken_num	99_S23.O.bracken_frac	BLB_S18.O.bracken_num	BLB_S18.O.bracken_frac	BLB_WG4.O.bracken_num	BLB_WG4.O.bracken_frac	BLR_S17.O.bracken_num	BLR_S17.O.bracken_frac	BLR_WG4.O.bracken_num	BLR_WG4.O.bracken_frac	BLS_S16.O.bracken_num	BLS_S16.O.bracken_frac	DC06_S1.O.bracken_num	DC06_S1.O.bracken_frac	DC10_S2.O.bracken_num	DC10_S2.O.bracken_frac	DC11_S3.O.bracken_num	DC11_S3.O.bracken_frac	DC17_S4.O.bracken_num	DC17_S4.O.bracken_frac	DM13_S9.O.bracken_num	DM13_S9.O.bracken_frac	DM14_S10.O.bracken_num	DM14_S10.O.bracken_frac	DM15_S11.O.bracken_num	DM15_S11.O.bracken_frac	DM16_S12.O.bracken_num	DM16_S12.O.bracken_frac	GG01_S14.O.bracken_num	GG01_S14.O.bracken_frac	GH01_S13.O.bracken_num	GH01_S13.O.bracken_frac	GN13_S5.O.bracken_num	GN13_S5.O.bracken_frac	GN15_S6.O.bracken_num	GN15_S6.O.bracken_frac	GN18_S7.O.bracken_num	GN18_S7.O.bracken_frac	GN19_S8.O.bracken_num	GN19_S8.O.bracken_frac	NEG_S33.O.bracken_num	NEG_S33.O.bracken_frac	OC01_S15.O.bracken_num	OC01_S15.O.bracken_frac
Thermococcales	2258	O	333	0.00005	250	0.00004	300	0.00003	422	0.00004	363	0.00003	280	0.00003	238	0.00003	567	0.00006	299	0.00003	285	0.00003	324	0.00003	1423	0.00026	1009	0.00011	3045	0.00031	654	0.00011	2231	0.00023	1080	0.00010	792	0.00007	299	0.00003	4843	0.00039	1022	0.00010	291	0.00005	1731	0.00018	571	0.00007	479	0.00005	1322	0.00019	419	0.00004	720	0.00010	318	0.00003	818	0.00007	935	0.00010	0	0.00000	547	0.00007
Thermoplasmatales	2301	O	192	0.00003	127	0.00002	278	0.00003	323	0.00003	311	0.00003	128	0.00001	245	0.00003	320	0.00003	361	0.00004	439	0.00005	411	0.00004	248	0.00005	325	0.00004	1212	0.00013	99	0.00002	2172	0.00022	2648	0.00024	602	0.00005	208	0.00002	821	0.00007	164	0.00002	171	0.00003	409	0.00004	285	0.00003	420	0.00004	390	0.00006	503	0.00004	127	0.00002	425	0.00004	507	0.00005	253	0.00003	0	0.00000	272	0.00004
Ktedonobacterales	388448	O	80	0.00001	91	0.00001	209	0.00002	225	0.00002	88	0.00001	52	0.00001	57	0.00001	102	0.00001	69	0.00001	40	0.00000	63	0.00001	70	0.00001	204	0.00002	265	0.00003	134	0.00002	75	0.00001	332	0.00003	199	0.00002	40	0.00000	202	0.00002	149	0.00001	67	0.00001	280	0.00003	313	0.00004	235	0.00002	109	0.00002	69	0.00001	91	0.00001	45	0.00000	118	0.00001	143	0.00002	0	0.00000	146	0.00002
Fervidicoccales	685948	O	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	38	0.00000	0	0.00000	84	0.00001	0	0.00000	23	0.00000	0	0.00000	0	0.00000	132	0.00001	0	0.00000	724	0.00006	20	0.00000	0	0.00000	76	0.00001	55	0.00001	179	0.00002	0	0.00000	12	0.00000	132	0.00002	0	0.00000	1432	0.00013	0	0.00000	0	0.00000	0	0.00000
Ulotrichales	31306	O	0	0.00000	0	0.00000	0	0.00000	34	0.00000	25	0.00000	38	0.00000	48	0.00001	76	0.00001	33	0.00000	0	0.00000	111	0.00001	239	0.00004	31	0.00000	139	0.00001	18	0.00000	41	0.00000	58	0.00001	2047	0.00018	251	0.00002	77	0.00001	371	0.00003	0	0.00000	0	0.00000	0	0.00000	43	0.00000	90	0.00001	55	0.00000	66	0.00001	603	0.00006	151	0.00001	58	0.00001	0	0.00000	54	0.00001
Caudata	8293	O	109	0.00002	87	0.00001	221	0.00002	233	0.00002	264	0.00002	215	0.00002	252	0.00003	208	0.00002	390	0.00005	219	0.00002	166	0.00002	163	0.00003	117	0.00001	353	0.00004	82	0.00001	674	0.00007	782	0.00007	109	0.00001	24	0.00000	59	0.00000	81	0.00001	60	0.00001	139	0.00001	153	0.00002	133	0.00001	52	0.00001	153	0.00001	120	0.00002	94	0.00001	207	0.00002	32	0.00000	0	0.00000	98	0.00001
Hyracoidea	9810	O	24	0.00000	37	0.00001	37	0.00000	51	0.00000	37	0.00000	52	0.00001	42	0.00000	40	0.00000	20	0.00000	24	0.00000	46	0.00000	19	0.00000	28	0.00000	46	0.00000	20	0.00000	52	0.00001	0	0.00000	22	0.00000	0	0.00000	12	0.00000	11	0.00000	16	0.00000	11	0.00000	15	0.00000	0	0.00000	0	0.00000	27	0.00000	31	0.00000	11	0.00000	20	0.00000	13	0.00000	0	0.00000	14	0.00000
Mycoplasmoidales	2790996	O	470	0.00007	447	0.00007	462	0.00005	876	0.00008	250	0.00002	333	0.00003	409	0.00004	350	0.00004	319	0.00004	769	0.00008	678	0.00007	267	0.00005	599	0.00007	27017	0.00279	436	0.00007	31773	0.00324	31838	0.00294	1430	0.00012	247	0.00002	1465	0.00012	1103	0.00010	650	0.00012	2913	0.00030	706	0.00008	865	0.00009	23149	0.00330	1120	0.00009	1735	0.00023	19282	0.00190	10948	0.00100	2818	0.00030	0	0.00000	228	0.00003
Uranoscopiformes	1489926	O	0	0.00000	0	0.00000	0	0.00000	0	0.00000	54	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	552	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	19	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Phlebobranchia	7716	O	592	0.00009	564	0.00008	1035	0.00010	1105	0.00010	729	0.00007	574	0.00006	620	0.00007	765	0.00008	705	0.00008	772	0.00008	840	0.00008	396	0.00007	797	0.00009	793	0.00008	553	0.00009	728	0.00007	772	0.00007	833	0.00007	320	0.00003	1117	0.00009	660	0.00006	293	0.00005	610	0.00006	481	0.00006	525	0.00006	1233	0.00018	593	0.00005	715	0.00010	1166	0.00011	742	0.00007	349	0.00004	0	0.00000	1311	0.00017
