name	taxonomy_id	taxonomy_lvl	119_S24.P.bracken_num	119_S24.P.bracken_frac	120_S25.P.bracken_num	120_S25.P.bracken_frac	140_S26.P.bracken_num	140_S26.P.bracken_frac	147_S27.P.bracken_num	147_S27.P.bracken_frac	177_S28.P.bracken_num	177_S28.P.bracken_frac	178_S29.P.bracken_num	178_S29.P.bracken_frac	179_S31.P.bracken_num	179_S31.P.bracken_frac	209_S30.P.bracken_num	209_S30.P.bracken_frac	214_S32.P.bracken_num	214_S32.P.bracken_frac	82_S21.P.bracken_num	82_S21.P.bracken_frac	88_S22.P.bracken_num	88_S22.P.bracken_frac	99_S23.P.bracken_num	99_S23.P.bracken_frac	BLB_S18.P.bracken_num	BLB_S18.P.bracken_frac	BLB_WG4.P.bracken_num	BLB_WG4.P.bracken_frac	BLR_S17.P.bracken_num	BLR_S17.P.bracken_frac	BLR_WG4.P.bracken_num	BLR_WG4.P.bracken_frac	BLS_S16.P.bracken_num	BLS_S16.P.bracken_frac	DC06_S1.P.bracken_num	DC06_S1.P.bracken_frac	DC10_S2.P.bracken_num	DC10_S2.P.bracken_frac	DC11_S3.P.bracken_num	DC11_S3.P.bracken_frac	DC17_S4.P.bracken_num	DC17_S4.P.bracken_frac	DM13_S9.P.bracken_num	DM13_S9.P.bracken_frac	DM14_S10.P.bracken_num	DM14_S10.P.bracken_frac	DM15_S11.P.bracken_num	DM15_S11.P.bracken_frac	DM16_S12.P.bracken_num	DM16_S12.P.bracken_frac	GG01_S14.P.bracken_num	GG01_S14.P.bracken_frac	GH01_S13.P.bracken_num	GH01_S13.P.bracken_frac	GN13_S5.P.bracken_num	GN13_S5.P.bracken_frac	GN15_S6.P.bracken_num	GN15_S6.P.bracken_frac	GN18_S7.P.bracken_num	GN18_S7.P.bracken_frac	GN19_S8.P.bracken_num	GN19_S8.P.bracken_frac	NEG_S33.P.bracken_num	NEG_S33.P.bracken_frac	OC01_S15.P.bracken_num	OC01_S15.P.bracken_frac
Entoprocta	43120	P	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	27	0.00000	0	0.00000	13	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Duplornaviricota	2732405	P	72	0.00001	82	0.00001	117	0.00001	132	0.00001	228	0.00002	217	0.00002	180	0.00002	327	0.00003	84	0.00001	129	0.00001	119	0.00001	78	0.00001	169	0.00002	375	0.00004	95	0.00002	278	0.00003	264	0.00002	281	0.00002	92	0.00001	197	0.00002	187	0.00002	87	0.00002	120	0.00001	137	0.00002	98	0.00001	310	0.00004	305	0.00003	177	0.00002	176	0.00002	156	0.00001	103	0.00001	0	0.00000	90	0.00001
Candidatus Aerophobetes	1052815	P	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10	0.00000	23	0.00000	0	0.00000	32	0.00000	17	0.00000	79	0.00001	15	0.00000	29	0.00000	15	0.00000	0	0.00000	13	0.00000	37	0.00000	14	0.00000	37	0.00001	51	0.00000	0	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000
Peploviricota	2731361	P	108	0.00002	111	0.00002	196	0.00002	295	0.00003	152	0.00001	124	0.00001	115	0.00001	148	0.00001	150	0.00002	168	0.00002	267	0.00003	113	0.00002	142	0.00002	136	0.00001	164	0.00003	5221	0.00053	99	0.00001	3739	0.00032	103	0.00001	3810	0.00031	252	0.00002	174	0.00003	222	0.00002	3349	0.00039	174	0.00002	116	0.00002	106	0.00001	127	0.00002	290	0.00003	212	0.00002	210	0.00002	0	0.00000	157	0.00002
Porifera	6040	P	1014	0.00016	710	0.00011	400	0.00004	387	0.00004	526	0.00005	1001	0.00010	511	0.00005	806	0.00008	599	0.00007	721	0.00008	417	0.00004	1438	0.00026	461	0.00005	615	0.00006	367	0.00006	731	0.00007	731	0.00007	1147	0.00010	376	0.00003	835	0.00007	548	0.00005	545	0.00010	360	0.00004	704	0.00008	392	0.00004	459	0.00007	536	0.00004	614	0.00008	853	0.00008	730	0.00007	382	0.00004	0	0.00000	830	0.00011
Bryozoa	10205	P	6871	0.00107	5681	0.00085	12656	0.00128	13194	0.00120	9694	0.00087	8416	0.00084	7423	0.00079	6986	0.00070	7504	0.00087	8115	0.00087	8745	0.00085	6393	0.00117	9166	0.00101	8160	0.00084	6675	0.00114	9450	0.00096	11934	0.00110	7801	0.00067	2432	0.00022	6859	0.00055	4716	0.00044	3187	0.00058	6152	0.00064	4539	0.00053	4035	0.00043	7029	0.00100	6072	0.00051	5782	0.00078	5008	0.00049	5919	0.00054	2618	0.00028	0	0.00000	5291	0.00070
Acanthocephala	10232	P	0	0.00000	11	0.00000	14	0.00000	10	0.00000	30	0.00000	27	0.00000	29	0.00000	20	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00000	12	0.00000	0	0.00000	11	0.00000	0	0.00000	0	0.00000	113	0.00001	10	0.00000	0	0.00000	30	0.00000	13	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	18	0.00000
Dictyoglomi	68297	P	0	0.00000	13	0.00000	21	0.00000	30	0.00000	26	0.00000	18	0.00000	23	0.00000	31	0.00000	43	0.00000	18	0.00000	27	0.00000	28	0.00001	49	0.00001	398	0.00004	62	0.00001	324	0.00003	389	0.00004	93	0.00001	27	0.00000	276	0.00002	63	0.00001	47	0.00001	206	0.00002	105	0.00001	174	0.00002	89	0.00001	245	0.00002	60	0.00001	208	0.00002	257	0.00002	146	0.00002	0	0.00000	23	0.00000
Gastrotricha	33313	P	0	0.00000	0	0.00000	0	0.00000	0	0.00000	110	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	142	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Thaumarchaeota	651137	P	622	0.00010	569	0.00008	1036	0.00010	958	0.00009	910	0.00008	728	0.00007	538	0.00006	636	0.00006	809	0.00009	535	0.00006	720	0.00007	390	0.00007	620	0.00007	1843	0.00019	504	0.00009	1245	0.00013	1882	0.00017	1618	0.00014	453	0.00004	2867	0.00023	1079	0.00010	554	0.00010	1872	0.00019	1064	0.00012	1037	0.00011	1811	0.00026	611	0.00005	442	0.00006	1026	0.00010	1601	0.00015	627	0.00007	0	0.00000	606	0.00008
Deinococcus-Thermus	1297	P	495	0.00008	586	0.00009	604	0.00006	655	0.00006	577	0.00005	433	0.00004	404	0.00004	555	0.00006	444	0.00005	723	0.00008	451	0.00004	481	0.00009	1005	0.00011	2558	0.00026	730	0.00012	2759	0.00028	2726	0.00025	1602	0.00014	712	0.00006	3235	0.00026	2688	0.00025	1547	0.00028	3085	0.00032	2225	0.00026	3393	0.00036	2258	0.00032	1378	0.00012	572	0.00008	2432	0.00024	3056	0.00028	4330	0.00046	0	0.00000	588	0.00008
Gemmatimonadetes	142182	P	136	0.00002	136	0.00002	133	0.00001	353	0.00003	220	0.00002	185	0.00002	169	0.00002	253	0.00003	273	0.00003	84	0.00001	165	0.00002	302	0.00006	527	0.00006	752	0.00008	408	0.00007	336	0.00003	618	0.00006	894	0.00008	412	0.00004	1759	0.00014	1406	0.00013	606	0.00011	1192	0.00012	632	0.00007	1257	0.00013	427	0.00006	465	0.00004	193	0.00003	533	0.00005	1231	0.00011	1340	0.00014	0	0.00000	241	0.00003
Candidatus Levybacteria	1752719	P	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	90	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	21	0.00000	12	0.00000	10	0.00000	10	0.00000	33	0.00001	83	0.00001	119	0.00001	81	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Candidatus Roizmanbacteria	1752723	P	0	0.00000	0	0.00000	17	0.00000	0	0.00000	39	0.00000	29	0.00000	12	0.00000	34	0.00000	0	0.00000	14	0.00000	27	0.00000	10	0.00000	26	0.00000	941	0.00010	45	0.00001	1493	0.00015	1620	0.00015	68	0.00001	0	0.00000	57	0.00000	28	0.00000	0	0.00000	39	0.00000	74	0.00001	67	0.00001	28	0.00000	23	0.00000	32	0.00000	57	0.00001	86	0.00001	23	0.00000	0	0.00000	21	0.00000
