Taxid	Sci.Name	Rank	Named Lineage	Taxid Lineage
976	Bacteroidetes	phylum	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes	1,131567,2,1783270,68336,976
1090	Chlorobi	phylum	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Chlorobi	1,131567,2,1783270,68336,1090
1117	Cyanobacteria	phylum	root,cellular organisms,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria	1,131567,2,1783272,1798711,1117
1224	Proteobacteria	phylum	root,cellular organisms,Bacteria,Proteobacteria	1,131567,2,1224
1239	Firmicutes	phylum	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes	1,131567,2,1783272,1239
1297	Deinococcus-Thermus	phylum	root,cellular organisms,Bacteria,Terrabacteria group,Deinococcus-Thermus	1,131567,2,1783272,1297
2763	Rhodophyta	phylum	root,cellular organisms,Eukaryota,Rhodophyta	1,131567,2759,2763
2830	Haptophyta	phylum	root,cellular organisms,Eukaryota,Haptista,Haptophyta	1,131567,2759,2608109,2830
2836	Bacillariophyta	phylum	root,cellular organisms,Eukaryota,Sar,Stramenopiles,Ochrophyta,Bacillariophyta	1,131567,2759,2698737,33634,2696291,2836
3041	Chlorophyta	phylum	root,cellular organisms,Eukaryota,Viridiplantae,Chlorophyta	1,131567,2759,33090,3041
4761	Chytridiomycota	phylum	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Fungi incertae sedis,Chytridiomycota	1,131567,2759,33154,4751,112252,4761
4762	Oomycota	phylum	root,cellular organisms,Eukaryota,Sar,Stramenopiles,Oomycota	1,131567,2759,2698737,33634,4762
4890	Ascomycota	phylum	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota	1,131567,2759,33154,4751,451864,4890
5204	Basidiomycota	phylum	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota	1,131567,2759,33154,4751,451864,5204
5719	Parabasalia	phylum	root,cellular organisms,Eukaryota,Metamonada,Parabasalia	1,131567,2759,2611341,5719
5752	Heterolobosea	phylum	root,cellular organisms,Eukaryota,Discoba,Heterolobosea	1,131567,2759,2611352,5752
5794	Apicomplexa	phylum	root,cellular organisms,Eukaryota,Sar,Alveolata,Apicomplexa	1,131567,2759,2698737,33630,5794
5878	Ciliophora	phylum	root,cellular organisms,Eukaryota,Sar,Alveolata,Ciliophora	1,131567,2759,2698737,33630,5878
6029	Microsporidia	phylum	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Fungi incertae sedis,Microsporidia	1,131567,2759,33154,4751,112252,6029
6040	Porifera	phylum	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Porifera	1,131567,2759,33154,33208,6040
6073	Cnidaria	phylum	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Cnidaria	1,131567,2759,33154,33208,6072,6073
6157	Platyhelminthes	phylum	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Spiralia,Lophotrochozoa,Platyhelminthes	1,131567,2759,33154,33208,6072,33213,33317,2697495,1206795,6157
6217	Nemertea	phylum	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Spiralia,Lophotrochozoa,Nemertea	1,131567,2759,33154,33208,6072,33213,33317,2697495,1206795,6217
6231	Nematoda	phylum	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Ecdysozoa,Nematoda	1,131567,2759,33154,33208,6072,33213,33317,1206794,6231
6340	Annelida	phylum	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Spiralia,Lophotrochozoa,Annelida	1,131567,2759,33154,33208,6072,33213,33317,2697495,1206795,6340
