Module ID	Module	Module Category	BLB.whokaryote.bac Module presence	BLBWG4.whokaryote.bac Module presence	BLR.whokaryote.bac Module presence	BLRWG4.whokaryote.bac Module presence	BLS.whokaryote.bac Module presence	DC06.whokaryote.bac Module presence	DC10.whokaryote.bac Module presence	DC11.whokaryote.bac Module presence	DC17.whokaryote.bac Module presence	DM13.whokaryote.bac Module presence	DM14.whokaryote.bac Module presence	DM15.whokaryote.bac Module presence	DM16.whokaryote.bac Module presence	GG01.whokaryote.bac Module presence	GH01.whokaryote.bac Module presence	GN13.whokaryote.bac Module presence	GN15.whokaryote.bac Module presence	GN18.whokaryote.bac Module presence	GN19.whokaryote.bac Module presence	Meg119.whokaryote.bac Module presence	Meg120.whokaryote.bac Module presence	Meg140.whokaryote.bac Module presence	Meg147.whokaryote.bac Module presence	Meg177.whokaryote.bac Module presence	Meg178.whokaryote.bac Module presence	Meg179.whokaryote.bac Module presence	Meg209.whokaryote.bac Module presence	Meg214.whokaryote.bac Module presence	Meg82.whokaryote.bac Module presence	Meg88.whokaryote.bac Module presence	Meg99.whokaryote.bac Module presence	OC01.whokaryote.bac Module presence
M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Present	Present	Absent	Present	Absent	Absent
M00002	Glycolysis, core module involving three-carbon compounds	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Absent	Absent	Present	Present	Present	Present	Present	Absent	Present	Absent	Absent
M00003	Gluconeogenesis, oxaloacetate => fructose-6P	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Present	Present	Absent	Present	Absent	Absent
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent	Absent	Absent	Absent
M00005	PRPP biosynthesis, ribose 5P => PRPP	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Absent
M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent	Absent	Absent	Absent
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Present	Absent	Present	Present	Absent
M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent	Absent	Absent	Absent
M00009	Citrate cycle (TCA cycle, Krebs cycle)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Present	Absent	Present	Absent	Absent
M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent
