Data,Category,Model,Type,pval,Fmod,R2,padj
Kraken - Fungi,Genus,Genus + Diet_group + Grade + Ocean,sequential,1e-04,3.27834440291411,0.353836686745605,0.00035
Kraken - Fungi,Grade,Genus + Diet_group + Grade + Ocean,sequential,5e-04,2.63262620212996,0.113657336547473,0.00110526315789474
Kraken - Fungi,Ocean,Genus + Diet_group + Grade + Ocean,sequential,0.176,1.33434839891662,0.0576072991010067,0.18984
Kraken - Fungi,Family,Family + Grade + Diet_group + Ocean,sequential,1e-04,3.5625362824439,0.307607958082855,0.00035
Kraken - Fungi,Grade,Family + Grade + Diet_group + Ocean,sequential,4e-04,2.46894309635162,0.159886065210223,0.000988235294117647
Kraken - Fungi,Ocean,Family + Grade + Diet_group + Ocean,sequential,0.173,1.33434839891663,0.0576072991010069,0.18984
Kraken - Fungi,Genus,Genus + Grade + Diet_group + Ocean,sequential,1e-04,3.27834440291411,0.353836686745605,0.00035
Kraken - Fungi,Grade,Genus + Grade + Diet_group + Ocean,sequential,0.0011,2.63262620212996,0.113657336547473,0.001925
Kraken - Fungi,Ocean,Genus + Grade + Diet_group + Ocean,sequential,0.1754,1.33434839891662,0.0576072991010067,0.18984
Kraken - Fungi,Diet_group,Diet_group + Grade + Genus + Ocean,sequential,1e-04,4.39036710371225,0.189543593796133,0.00035
Kraken - Fungi,Grade,Diet_group + Grade + Genus + Ocean,sequential,8e-04,2.24232569042314,0.193614091844312,0.00152727272727273
Kraken - Fungi,Genus,Diet_group + Grade + Genus + Ocean,sequential,1e-04,3.90693744971342,0.0843363376526331,0.00035
Kraken - Fungi,Ocean,Diet_group + Grade + Genus + Ocean,sequential,0.178,1.33434839891662,0.0576072991010068,0.18984
Kraken - Fungi,Diet_group,Diet_group + Genus + Grade + Ocean,sequential,1e-04,4.39036710371225,0.189543593796133,0.00035
Kraken - Fungi,Genus,Diet_group + Genus + Grade + Ocean,sequential,2e-04,2.53699593571535,0.164293092949473,0.00056
Kraken - Fungi,Grade,Diet_group + Genus + Grade + Ocean,sequential,0.0012,2.63262620212996,0.113657336547473,0.00193846153846154
Kraken - Fungi,Ocean,Diet_group + Genus + Grade + Ocean,sequential,0.1757,1.33434839891662,0.0576072991010068,0.18984
Kraken - Fungi,Grade,Grade + Genus + Diet_group + Ocean,sequential,1e-04,3.24084231245297,0.279831223366038,0.00035
Kraken - Fungi,Genus,Grade + Genus + Diet_group + Ocean,sequential,2e-04,2.89786838967287,0.18766279992704,0.00056
Kraken - Fungi,Ocean,Grade + Genus + Diet_group + Ocean,sequential,0.1808,1.33434839891662,0.0576072991010067,0.18984
Kraken - Fungi,Grade,Grade + Diet_Group + Genus + Ocean,sequential,1e-04,3.24084231245297,0.279831223366038,0.00035
Kraken - Fungi,Diet_group,Grade + Diet_Group + Genus + Ocean,sequential,0.002,2.3933338596526,0.103326462274407,0.00311111111111111
Kraken - Fungi,Genus,Grade + Diet_Group + Genus + Ocean,sequential,1e-04,3.90693744971342,0.0843363376526331,0.00035
Kraken - Fungi,Ocean,Grade + Diet_Group + Genus + Ocean,sequential,0.1761,1.33434839891662,0.0576072991010068,0.18984
Kraken - Fungi,Genus,Genus + Ocean,margin,1e-04,2.52643299330052,0.246760034426179,0.00035
Kraken - Fungi,Ocean,Genus + Ocean,margin,0.2087,1.23138341638271,0.0601354191906486,0.213790243902439
Kraken - Fungi,Diet_group,Diet_Group + Infraorder + Ocean,margin,0.0043,2.32166900109211,0.117183722957338,0.00645
Kraken - Fungi,Infraorder,Diet_Group + Infraorder + Ocean,margin,2e-04,3.34177914564192,0.0843363376526329,0.00056
Kraken - Fungi,Ocean,Diet_Group + Infraorder + Ocean,margin,0.012,1.75149898826406,0.132607515608972,0.0168
Kraken - Fungi,Grade,Grade + Infraorder + Ocean,margin,0.0012,2.19686468773817,0.161176140119484,0.00193846153846154
Kraken - Fungi,Infraorder,Grade + Infraorder + Ocean,margin,0.0049,2.78424960057658,0.0680901599227416,0.00709655172413793
Kraken - Fungi,Ocean,Grade + Infraorder + Ocean,margin,0.3318,1.10548413745275,0.0540702900311981,0.3318
Kraken - Fungi,Grade,Grade + Family + Ocean,margin,5e-04,2.40932489212252,0.156025255253454,0.00110526315789474
Kraken - Fungi,Family,Grade + Family + Ocean,margin,1e-04,2.78143959485289,0.18012299801405,0.00035
Kraken - Fungi,Ocean,Grade + Family + Ocean,margin,0.1713,1.33434839891662,0.0576072991010064,0.18984
Kraken - Fungi,Grade,Grade + Genus + Ocean,margin,8e-04,2.57406777209545,0.11112921645783,0.00152727272727273
Kraken - Fungi,Genus,Grade + Genus + Ocean,margin,3e-04,2.78143959485289,0.18012299801405,0.0007875
Kraken - Fungi,Ocean,Grade + Genus + Ocean,margin,0.178,1.33434839891662,0.0576072991010064,0.18984
Kraken - Fungi,Grade,Grade + Diet_Group + Infraorder + Ocean,margin,6e-04,2.40932489212252,0.156025255253454,0.00126
Kraken - Fungi,Diet_group,Grade + Diet_Group + Infraorder + Ocean,margin,0.001,2.59499821144382,0.112032838091308,0.00182608695652174
Kraken - Fungi,Infraorder,Grade + Diet_Group + Infraorder + Ocean,margin,1e-04,3.9069374497134,0.0843363376526327,0.00035
Kraken - Fungi,Ocean,Grade + Diet_Group + Infraorder + Ocean,margin,0.1749,1.33434839891662,0.0576072991010064,0.18984
Kraken - Archaea,Genus,Genus + Diet_group + Grade + Ocean,sequential,5e-04,3.06202146590944,0.363852784450628,0.003
Kraken - Archaea,Grade,Genus + Diet_group + Grade + Ocean,sequential,0.1697,1.32479445988844,0.0629688796661667,0.2574
Kraken - Archaea,Ocean,Genus + Diet_group + Grade + Ocean,sequential,0.3423,1.05902801402618,0.0503367198440199,0.3551
Kraken - Archaea,Family,Family + Grade + Diet_group + Ocean,sequential,2e-04,3.19720615179637,0.303933169311934,0.00168
Kraken - Archaea,Grade,Family + Grade + Diet_group + Ocean,sequential,0.0259,1.72362388071287,0.122888494804861,0.0852923076923077
Kraken - Archaea,Ocean,Family + Grade + Diet_group + Ocean,sequential,0.3551,1.05902801402619,0.0503367198440201,0.3551
Kraken - Archaea,Genus,Genus + Grade + Diet_group + Ocean,sequential,1e-04,3.06202146590944,0.363852784450628,0.0014
Kraken - Archaea,Grade,Genus + Grade + Diet_group + Ocean,sequential,0.1686,1.32479445988844,0.0629688796661667,0.2574
Kraken - Archaea,Ocean,Genus + Grade + Diet_group + Ocean,sequential,0.3479,1.05902801402618,0.0503367198440199,0.3551
Kraken - Archaea,Diet_group,Diet_group + Grade + Genus + Ocean,sequential,1e-04,5.29009135683904,0.251443628545877,0.0014
Kraken - Archaea,Grade,Diet_group + Grade + Genus + Ocean,sequential,0.1157,1.38971240516039,0.132108996317048,0.211278260869565
Kraken - Archaea,Genus,Diet_group + Grade + Genus + Ocean,sequential,0.1014,1.82066391500442,0.04326903925387,0.210763636363636
Kraken - Archaea,Ocean,Diet_group + Grade + Genus + Ocean,sequential,0.3493,1.05902801402619,0.05033671984402,0.3551
Kraken - Archaea,Diet_group,Diet_group + Genus + Grade + Ocean,sequential,1e-04,5.29009135683904,0.251443628545877,0.0014
Kraken - Archaea,Genus,Diet_group + Genus + Grade + Ocean,sequential,0.0948,1.57664153862303,0.112409155904751,0.209557894736842
Kraken - Archaea,Grade,Diet_group + Genus + Grade + Ocean,sequential,0.1716,1.32479445988845,0.0629688796661667,0.2574
Kraken - Archaea,Ocean,Diet_group + Genus + Grade + Ocean,sequential,0.3461,1.05902801402619,0.05033671984402,0.3551
Kraken - Archaea,Grade,Grade + Genus + Diet_group + Ocean,sequential,2e-04,2.70340684032327,0.256991563855638,0.00168
Kraken - Archaea,Genus,Grade + Genus + Diet_group + Ocean,sequential,0.0133,2.382022962677,0.169830100261157,0.05586
Kraken - Archaea,Ocean,Grade + Genus + Diet_group + Ocean,sequential,0.3406,1.05902801402618,0.0503367198440199,0.3551
Kraken - Archaea,Grade,Grade + Diet_Group + Genus + Ocean,sequential,3e-04,2.70340684032327,0.256991563855638,0.0021
Kraken - Archaea,Diet_group,Grade + Diet_Group + Genus + Ocean,sequential,0.0099,2.66270248651328,0.126561061007287,0.0462
Kraken - Archaea,Genus,Grade + Diet_Group + Genus + Ocean,sequential,0.1075,1.82066391500442,0.04326903925387,0.210763636363636
Kraken - Archaea,Ocean,Grade + Diet_Group + Genus + Ocean,sequential,0.3506,1.05902801402618,0.0503367198440199,0.3551
Kraken - Archaea,Genus,Genus + Ocean,margin,0.0058,2.31866746407977,0.222699122272583,0.03045
Kraken - Archaea,Ocean,Genus + Ocean,margin,0.2195,1.2466965833287,0.0598702140666208,0.317896551724138
Kraken - Archaea,Diet_group,Diet_Group + Infraorder + Ocean,margin,0.0855,1.71971840844564,0.0875067659610807,0.1995
Kraken - Archaea,Infraorder,Diet_Group + Infraorder + Ocean,margin,0.1263,1.70068137025498,0.0432690392538694,0.221025
Kraken - Archaea,Ocean,Diet_Group + Infraorder + Ocean,margin,0.2852,1.1494310864541,0.0877320931526586,0.3551
Kraken - Archaea,Grade,Grade + Infraorder + Ocean,margin,0.1574,1.31929038363434,0.102431337197332,0.2574
Kraken - Archaea,Infraorder,Grade + Infraorder + Ocean,margin,0.0319,2.17266788472791,0.0562295406376738,0.0957
Kraken - Archaea,Ocean,Grade + Infraorder + Ocean,margin,0.3166,1.09333747070941,0.0565920490398793,0.3551
Kraken - Archaea,Grade,Grade + Family + Ocean,margin,0.0697,1.58791408965018,0.113212850286012,0.1722
Kraken - Archaea,Family,Grade + Family + Ocean,margin,0.0257,2.16725417974942,0.154517819687436,0.0852923076923077
Kraken - Archaea,Ocean,Grade + Family + Ocean,margin,0.3462,1.05902801402617,0.0503367198440193,0.3551
Kraken - Archaea,Grade,Grade + Genus + Ocean,margin,0.2987,1.12422045577022,0.0534353854435646,0.3551
Kraken - Archaea,Genus,Grade + Genus + Ocean,margin,0.0264,2.16725417974942,0.154517819687436,0.0852923076923077
Kraken - Archaea,Ocean,Grade + Genus + Ocean,margin,0.3481,1.05902801402617,0.0503367198440193,0.3551
Kraken - Archaea,Grade,Grade + Diet_Group + Infraorder + Ocean,margin,0.0695,1.58791408965018,0.113212850286012,0.1722
Kraken - Archaea,Diet_group,Grade + Diet_Group + Infraorder + Ocean,margin,0.0663,2.06787492881276,0.0982882790497616,0.1722
Kraken - Archaea,Infraorder,Grade + Diet_Group + Infraorder + Ocean,margin,0.1104,1.8206639150044,0.0432690392538695,0.210763636363636
Kraken - Archaea,Ocean,Grade + Diet_Group + Infraorder + Ocean,margin,0.3412,1.05902801402617,0.0503367198440194,0.3551
Kraken - Bacteria,Genus,Genus + Diet_group + Grade + Ocean,sequential,1e-04,6.00911752683887,0.506622689520096,0.000372727272727273
Kraken - Bacteria,Grade,Genus + Diet_group + Grade + Ocean,sequential,0.0449,1.84932481942308,0.0623658904741212,0.057528125
Kraken - Bacteria,Ocean,Genus + Diet_group + Grade + Ocean,sequential,0.0325,1.78070609449932,0.0600518200425116,0.0524214285714286
Kraken - Bacteria,Family,Family + Grade + Diet_group + Ocean,sequential,1e-04,6.43678755723429,0.434143297687307,0.000372727272727273
Kraken - Bacteria,Grade,Family + Grade + Diet_group + Ocean,sequential,0.0013,2.66569568136778,0.134845282306911,0.00355333333333333
Kraken - Bacteria,Ocean,Family + Grade + Diet_group + Ocean,sequential,0.0334,1.78070609449932,0.0600518200425113,0.0524214285714286
Kraken - Bacteria,Genus,Genus + Grade + Diet_group + Ocean,sequential,1e-04,6.00911752683887,0.506622689520096,0.000372727272727273
Kraken - Bacteria,Grade,Genus + Grade + Diet_group + Ocean,sequential,0.0414,1.84932481942308,0.0623658904741212,0.05658
Kraken - Bacteria,Ocean,Genus + Grade + Diet_group + Ocean,sequential,0.0333,1.78070609449932,0.0600518200425116,0.0524214285714286
Kraken - Bacteria,Diet_group,Diet_group + Grade + Genus + Ocean,sequential,1e-04,11.9093285937657,0.401625433724952,0.000372727272727273
Kraken - Bacteria,Grade,Diet_group + Grade + Genus + Ocean,sequential,0.0017,2.28083441281614,0.153835894792862,0.00435625
Kraken - Bacteria,Genus,Diet_group + Grade + Genus + Ocean,sequential,0.7068,0.802242434244489,0.0135272514764044,0.72447
