TaxonomicLevel,Category,Taxon,comparison,Zsc,pval,padj,DataSet
genus,Genus,Trametes,Petrolisthes - Tuerkayana,-3.065339592636,0.00217422971350225,0.0326134457025338,Kraken - Fungi
genus,Genus,Trametes,Ocypode - Tuerkayana,-0.741215388753669,0.458562854201243,1,Kraken - Fungi
genus,Genus,Trametes,Geograpsus - Tuerkayana,-2.04776454859064,0.0405830756093326,0.608746134139988,Kraken - Fungi
genus,Genus,Trametes,Gecarcoidea - Tuerkayana,0.677836567756131,0.49787532256091,1,Kraken - Fungi
genus,Genus,Trametes,Birgus - Tuerkayana,0.416051410553764,0.677372384058102,1,Kraken - Fungi
genus,Genus,Trametes,Ocypode - Petrolisthes,0.588905289974068,0.555924808924448,1,Kraken - Fungi
genus,Genus,Trametes,Geograpsus - Petrolisthes,-0.742532756923824,0.457764612640235,1,Kraken - Fungi
genus,Genus,Trametes,Gecarcoidea - Petrolisthes,3.35447561989828,0.00079515559751244,0.0119273339626866,Kraken - Fungi
genus,Genus,Trametes,Birgus - Petrolisthes,3.07410153823514,0.00211137558154341,0.0316706337231512,Kraken - Fungi
genus,Genus,Trametes,Geograpsus - Ocypode,-0.979911869877732,0.327129623235154,1,Kraken - Fungi
genus,Genus,Trametes,Gecarcoidea - Ocypode,1.07043604822209,0.284423080529614,1,Kraken - Fungi
genus,Genus,Trametes,Birgus - Ocypode,0.934198732993828,0.350201389179296,1,Kraken - Fungi
genus,Genus,Trametes,Gecarcoidea - Geograpsus,2.33549683248457,0.0195174811821778,0.292762217732666,Kraken - Fungi
genus,Genus,Trametes,Birgus - Geograpsus,2.1992595172563,0.0278594744858508,0.417892117287762,Kraken - Fungi
genus,Genus,Trametes,Birgus - Gecarcoidea,-0.235969951862134,0.813455986758935,1,Kraken - Fungi
genus,Genus,Torulaspora,Petrolisthes - Tuerkayana,-3.61028885354906,0.000305856199493198,0.00458784299239797,Kraken - Fungi
genus,Genus,Torulaspora,Ocypode - Tuerkayana,-1.62062347710548,0.105098414073848,1,Kraken - Fungi
genus,Genus,Torulaspora,Geograpsus - Tuerkayana,-2.52515751083877,0.0115646443354931,0.173469665032397,Kraken - Fungi
genus,Genus,Torulaspora,Gecarcoidea - Tuerkayana,-0.733933387156639,0.462989337451307,1,Kraken - Fungi
genus,Genus,Torulaspora,Birgus - Tuerkayana,-2.30464433037085,0.021186501067728,0.31779751601592,Kraken - Fungi
genus,Genus,Torulaspora,Ocypode - Petrolisthes,-0.0682788741998918,0.945563640822758,1,Kraken - Fungi
genus,Genus,Torulaspora,Geograpsus - Petrolisthes,-0.990043675898432,0.322152771546907,1,Kraken - Fungi
genus,Genus,Torulaspora,Gecarcoidea - Petrolisthes,2.30974838703444,0.0209020882552053,0.31353132382808,Kraken - Fungi
genus,Genus,Torulaspora,Birgus - Petrolisthes,0.6275038970556,0.530328982454561,1,Kraken - Fungi
genus,Genus,Torulaspora,Geograpsus - Ocypode,-0.678400525299968,0.497517776129989,1,Kraken - Fungi
genus,Genus,Torulaspora,Gecarcoidea - Ocypode,1.18721088984632,0.235144446497211,1,Kraken - Fungi
genus,Genus,Torulaspora,Birgus - Ocypode,0.369786998476723,0.711541203370784,1,Kraken - Fungi
genus,Genus,Torulaspora,Gecarcoidea - Geograpsus,2.06302220202804,0.0391105188183906,0.586657782275859,Kraken - Fungi
