pairs,Df,SumsOfSqs,F.Model,R2,p.value,p.adjusted,sig,DataSet
Porcellanidae vs Coenobitidae,1,0.319714749732537,3.87716645533315,0.205389217947897,0.0033,0.0099,*,Kraken - Fungi
Porcellanidae vs Gecarcinidae,1,0.280994132984094,3.77773669392807,0.141077520371043,0.002,0.0099,*,Kraken - Fungi
Porcellanidae vs Grapsidae,1,0.209313970628189,2.63329395447635,0.193151703709267,0.0744,0.13392,,Kraken - Fungi
Porcellanidae vs Ocypodidae,1,0.100996646894277,1.2705977479234,0.103548154215913,0.3046,0.3046,,Kraken - Fungi
Coenobitidae vs Gecarcinidae,1,0.29989722079449,4.00207873626862,0.200083140809354,0.0032,0.0099,*,Kraken - Fungi
Coenobitidae vs Grapsidae,1,0.25254034001653,2.78625718843264,0.410573473870381,0.166666666666667,0.214285714285714,,Kraken - Fungi
Coenobitidae vs Ocypodidae,1,0.128537496419201,1.41814382350831,0.261739789437714,0.166666666666667,0.214285714285714,,Kraken - Fungi
Gecarcinidae vs Grapsidae,1,0.267487671084605,3.83763351965653,0.242311044443195,0.0704,0.13392,,Kraken - Fungi
Gecarcinidae vs Ocypodidae,1,0.0848441994854676,1.21725589285523,0.0920959617278221,0.2173,0.2444625,,Kraken - Fungi
Grapsidae vs Ocypodidae,1,0.182178381178141,NA,1,NA,NA,,Kraken - Fungi
Petrolisthes vs Birgus,1,0.319714749732537,3.87716645533315,0.205389217947897,0.0021,0.021,.,Kraken - Fungi
Petrolisthes vs Tuerkayana,1,0.303475701266995,3.96066242956611,0.180352593746616,0.003,0.021,.,Kraken - Fungi
Petrolisthes vs Geograpsus,1,0.209313970628189,2.63329395447635,0.193151703709267,0.0728,0.1456,,Kraken - Fungi
Petrolisthes vs Gecarcoidea,1,0.15391121822983,2.16267475335472,0.1260103558702,0.0616,0.143733333333333,,Kraken - Fungi
Petrolisthes vs Ocypode,1,0.100996646894277,1.2705977479234,0.103548154215913,0.3072,0.330830769230769,,Kraken - Fungi
Birgus vs Tuerkayana,1,0.295297158713296,3.74486353015124,0.253977496807177,0.0106,0.0494666666666667,.,Kraken - Fungi
Birgus vs Geograpsus,1,0.25254034001653,2.78625718843264,0.410573473870381,0.166666666666667,0.194444444444444,,Kraken - Fungi
Birgus vs Gecarcoidea,1,0.225143333212992,3.24125163364341,0.288335475379167,0.0334,0.09352,,Kraken - Fungi
Birgus vs Ocypode,1,0.128537496419201,1.41814382350831,0.261739789437714,0.166666666666667,0.194444444444444,,Kraken - Fungi
Tuerkayana vs Geograpsus,1,0.27693899956619,3.83996195714554,0.354241276152662,0.1171,0.194444444444444,,Kraken - Fungi
Tuerkayana vs Gecarcoidea,1,0.138429284220387,2.18159675110797,0.165503223342392,0.023,0.0805,,Kraken - Fungi
Tuerkayana vs Ocypode,1,0.0932659668007236,1.2932009033476,0.155935074818408,0.3309,0.3309,,Kraken - Fungi
Geograpsus vs Gecarcoidea,1,0.231800947218189,4.80059718421877,0.545485389653693,0.166666666666667,0.194444444444444,,Kraken - Fungi
Geograpsus vs Ocypode,1,0.182178381178141,NA,1,NA,NA,,Kraken - Fungi
Gecarcoidea vs Ocypode,1,0.0811423959684036,1.68045886904864,0.295831535407294,0.166666666666667,0.194444444444444,,Kraken - Fungi
Detritivore vs Carnivore/Omnivore,1,0.2843584106795,3.03944805348234,0.151673241966071,0.0062,0.0062,*,Kraken - Fungi
Detritivore vs Herbivore,1,0.265373681068204,3.51532231782114,0.127758718477535,0.0023,0.00345,*,Kraken - Fungi
Carnivore/Omnivore vs Herbivore,1,0.308418576277389,3.612189885426,0.175245323544202,0.0021,0.00345,*,Kraken - Fungi
I vs II,1,0.26425820577919,4.33136066670369,0.30222954871039,0.0136,0.04175,.,Kraken - Fungi
I vs V,1,0.151749316851675,1.74184794314988,0.0981773684867145,0.0636,0.07975,,Kraken - Fungi
I vs III,1,0.101651232707921,1.49159703099024,0.129798932817409,0.1296,0.144,,Kraken - Fungi
I vs IV,1,0.129789515489335,2.01721536709662,0.183096662802936,0.0225,0.045,.,Kraken - Fungi
II vs V,1,0.332608291505597,3.68016133242856,0.208152022101659,0.0025,0.025,.,Kraken - Fungi
II vs III,1,0.355312029916197,5.14126165775822,0.391230445877544,0.009,0.04175,.,Kraken - Fungi
II vs IV,1,0.372906387942982,5.79490784987037,0.452907353289698,0.0167,0.04175,.,Kraken - Fungi
V vs III,1,0.167403502280222,1.75332227935386,0.111298572343165,0.0638,0.07975,,Kraken - Fungi
V vs IV,1,0.177873466211736,1.87346547123112,0.125960252831115,0.0504,0.07975,,Kraken - Fungi
III vs IV,1,0.0762645473464191,1.02301207327112,0.127509726263446,0.4203,0.4203,,Kraken - Fungi
Porcellanidae vs Coenobitidae,1,0.430486617860664,4.62969764235066,0.235851704224021,0.0056,0.0168,.,Kraken - Archaea
Porcellanidae vs Gecarcinidae,1,0.464436722559912,4.53786882234065,0.164786492797119,2e-04,0.0018,*,Kraken - Archaea
Porcellanidae vs Grapsidae,1,0.272012943873402,3.33393781439854,0.232590503570455,0.0785,0.176625,,Kraken - Archaea
Porcellanidae vs Ocypodidae,1,0.0377693562446321,0.462921665478073,0.0403842649358946,0.9239,0.9239,,Kraken - Archaea
Coenobitidae vs Gecarcinidae,1,0.492088000528123,4.02984479495304,0.2011920130289,0.0024,0.0108,.,Kraken - Archaea
Coenobitidae vs Grapsidae,1,0.177240224491305,1.42568840468728,0.262766362228914,0.333333333333333,0.5,,Kraken - Archaea
Coenobitidae vs Ocypodidae,1,0.138116640741047,1.11098535202165,0.217372047756349,0.5,0.5625,,Kraken - Archaea
Gecarcinidae vs Grapsidae,1,0.307840246520796,2.53627685461186,0.174479124192464,0.1479,0.26622,,Kraken - Archaea
Gecarcinidae vs Ocypodidae,1,0.105676560583481,0.870662682063454,0.0676470748687097,0.4277,0.5499,,Kraken - Archaea
Grapsidae vs Ocypodidae,1,0.172054521855174,NA,1,NA,NA,,Kraken - Archaea
Petrolisthes vs Birgus,1,0.430486617860664,4.62969764235066,0.235851704224021,0.0042,0.0270666666666667,.,Kraken - Archaea
Petrolisthes vs Tuerkayana,1,0.518843328101812,5.06255750101134,0.21951414108298,1e-04,0.0014,*,Kraken - Archaea
Petrolisthes vs Geograpsus,1,0.272012943873402,3.33393781439854,0.232590503570455,0.0761,0.1522,,Kraken - Archaea
Petrolisthes vs Gecarcoidea,1,0.245846505086232,3.17560577838589,0.174718015845296,0.0058,0.0270666666666667,.,Kraken - Archaea
Petrolisthes vs Ocypode,1,0.0377693562446321,0.462921665478073,0.0403842649358946,0.9231,0.9231,,Kraken - Archaea
Birgus vs Tuerkayana,1,0.520666099655393,3.96477860951624,0.264940679242324,0.0088,0.0308,.,Kraken - Archaea
Birgus vs Geograpsus,1,0.177240224491305,1.42568840468728,0.262766362228914,0.333333333333333,0.424242424242424,,Kraken - Archaea
Birgus vs Gecarcoidea,1,0.33161493325296,3.48584819665657,0.303490707605841,0.05,0.116666666666667,,Kraken - Archaea
Birgus vs Ocypode,1,0.138116640741047,1.11098535202165,0.217372047756349,0.5,0.538461538461538,,Kraken - Archaea
Tuerkayana vs Geograpsus,1,0.314417924794017,2.32342733730068,0.249203136705451,0.2214,0.3444,,Kraken - Archaea
Tuerkayana vs Gecarcoidea,1,0.245444923708699,2.22937666187631,0.168517135678871,0.0355,0.0994,,Kraken - Archaea
Tuerkayana vs Ocypode,1,0.13982361906247,1.03324267896905,0.128620872076238,0.4389,0.51205,,Kraken - Archaea
Geograpsus vs Gecarcoidea,1,0.287574508642282,4.36085618028161,0.52158009733098,0.166666666666667,0.291666666666667,,Kraken - Archaea
Geograpsus vs Ocypode,1,0.172054521855174,NA,1,NA,NA,,Kraken - Archaea
Gecarcoidea vs Ocypode,1,0.0777507000525334,1.17903225305367,0.227654935409697,0.333333333333333,0.424242424242424,,Kraken - Archaea
Detritivore vs Carnivore/Omnivore,1,0.499816347699336,5.27833195778016,0.236926712815985,0.0012,0.0012,*,Kraken - Archaea
Detritivore vs Herbivore,1,0.484591856961012,4.86263869110199,0.168475195325821,1e-04,3e-04,**,Kraken - Archaea
Carnivore/Omnivore vs Herbivore,1,0.571748660126863,4.5610793300185,0.211542254457935,0.001,0.0012,*,Kraken - Archaea
I vs II,1,0.140263094495812,1.85235037062294,0.156285488759609,0.1154,0.128222222222222,,Kraken - Archaea
I vs V,1,0.308865160732303,2.9340851371653,0.154963132145532,0.0199,0.0398,.,Kraken - Archaea
I vs III,1,0.252487144237669,2.31500648235615,0.187982563035829,0.0194,0.0398,.,Kraken - Archaea
I vs IV,1,0.332760380035772,4.861212786818,0.35070616558466,0.0029,0.029,.,Kraken - Archaea
II vs V,1,0.272319459079487,2.2359954856792,0.137718410161633,0.0584,0.0973333333333333,,Kraken - Archaea
II vs III,1,0.239344921351158,1.7228175867767,0.177193243769149,0.1042,0.128222222222222,,Kraken - Archaea
II vs IV,1,0.307857196066431,3.38396734454878,0.325883858477776,0.0088,0.0398,.,Kraken - Archaea
V vs III,1,0.236240078646788,1.62246269119616,0.103854476932787,0.1086,0.128222222222222,,Kraken - Archaea
V vs IV,1,0.360051462963334,2.9929520414947,0.187141938131828,0.0188,0.0398,.,Kraken - Archaea
III vs IV,1,0.116835106202156,0.842910639103841,0.107474211793411,0.4918,0.4918,,Kraken - Archaea
Porcellanidae vs Coenobitidae,1,1.29501358881712,7.53074834920728,0.334243152179729,4e-04,0.0018,*,Kraken - Bacteria
Porcellanidae vs Gecarcinidae,1,2.84756650048539,14.6117224885796,0.388488522242401,1e-04,9e-04,**,Kraken - Bacteria
Porcellanidae vs Grapsidae,1,0.514813536814409,3.21291004676764,0.226055750454731,0.0818,0.14724,,Kraken - Bacteria
Porcellanidae vs Ocypodidae,1,0.177844966629565,1.10991619137858,0.0916534989869509,0.3069,0.3452625,,Kraken - Bacteria
Coenobitidae vs Gecarcinidae,1,0.673331764622251,3.04621233322333,0.159937959313289,8e-04,0.0024,*,Kraken - Bacteria
Coenobitidae vs Grapsidae,1,0.12668120047158,0.620308714291839,0.13425698425152,0.666666666666667,0.666666666666667,,Kraken - Bacteria
Coenobitidae vs Ocypodidae,1,0.441550696574004,2.16210253665803,0.350870911964835,0.166666666666667,0.25,,Kraken - Bacteria
Gecarcinidae vs Grapsidae,1,0.25848247703344,1.14047587202468,0.08679106321048,0.2761,0.3452625,,Kraken - Bacteria
Gecarcinidae vs Ocypodidae,1,0.572825031814589,2.52741746819376,0.173975689328628,0.0715,0.14724,,Kraken - Bacteria
Grapsidae vs Ocypodidae,1,0.362945369771236,NA,1,NA,NA,,Kraken - Bacteria
Petrolisthes vs Birgus,1,1.29501358881712,7.53074834920727,0.334243152179729,2e-04,0.0014,*,Kraken - Bacteria
Petrolisthes vs Tuerkayana,1,2.61428684761099,16.0888060925555,0.471967426752122,1e-04,0.0014,*,Kraken - Bacteria
Petrolisthes vs Geograpsus,1,0.514813536814409,3.21291004676764,0.226055750454731,0.074,0.148,,Kraken - Bacteria
Petrolisthes vs Gecarcoidea,1,1.59109191482456,9.03600260027905,0.375936163369118,3e-04,0.0014,*,Kraken - Bacteria
Petrolisthes vs Ocypode,1,0.177844966629565,1.10991619137858,0.0916534989869509,0.3024,0.3528,,Kraken - Bacteria
Birgus vs Tuerkayana,1,0.739572238603046,4.11045902875947,0.272027409685973,7e-04,0.00245,*,Kraken - Bacteria
Birgus vs Geograpsus,1,0.12668120047158,0.620308714291839,0.13425698425152,0.666666666666667,0.666666666666667,,Kraken - Bacteria
Birgus vs Gecarcoidea,1,0.58993397414036,2.78338896454688,0.258118201401988,0.0166,0.0387333333333333,.,Kraken - Bacteria
Birgus vs Ocypode,1,0.441550696574004,2.16210253665803,0.350870911964835,0.166666666666667,0.233333333333333,,Kraken - Bacteria
Tuerkayana vs Geograpsus,1,0.301235011492715,1.81423461017603,0.205830079458232,0.2199,0.279872727272727,,Kraken - Bacteria
Tuerkayana vs Gecarcoidea,1,0.678761416008535,3.65824594774614,0.249569147685684,9e-04,0.00252,*,Kraken - Bacteria
Tuerkayana vs Ocypode,1,0.627889987966554,3.78156490478028,0.350743601525195,0.1106,0.19355,,Kraken - Bacteria
Geograpsus vs Gecarcoidea,1,0.26440016517371,1.20360601083549,0.231302294664358,0.333333333333333,0.358974358974359,,Kraken - Bacteria
Geograpsus vs Ocypode,1,0.362945369771236,NA,1,NA,NA,,Kraken - Bacteria
Gecarcoidea vs Ocypode,1,0.507883661618966,2.31199487915641,0.366285924405789,0.166666666666667,0.233333333333333,,Kraken - Bacteria
Detritivore vs Carnivore/Omnivore,1,1.54574086850299,9.11157897629592,0.348947835922424,1e-04,1e-04,***,Kraken - Bacteria
Detritivore vs Herbivore,1,2.95756647659057,15.2316492603607,0.388249016993293,1e-04,1e-04,***,Kraken - Bacteria
Carnivore/Omnivore vs Herbivore,1,0.741677412396744,3.44184135836633,0.168372373996419,1e-04,1e-04,***,Kraken - Bacteria
I vs II,1,0.34975690375943,2.47562266292406,0.198436801898577,0.0308,0.0342222222222222,.,Kraken - Bacteria
I vs V,1,1.58219414541198,7.42410101886017,0.316942836477804,1e-04,0.001,**,Kraken - Bacteria
