Bin ID	GTDB Taxonomy	NCBI Taxonomy	Completeness	Contamination	N50 (bp)	MAG size (bp)	GC (%)	No. of genes	classification	Relative Evolutionary Divergence	Phylum	Class	Order	Family	Genus	bin_name
VLC_001	CAG-239 sp.	Alphaproteobacteria bacterium	100	0.36	142053	1812003	0.34	1865	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__;s__	0.75157	Proteobacteria	Alphaproteobacteria	RF32	CAG-239		crabs_bin.405
VLC_002	Ottowia sp.	Ottowia sp.	100	1.32	54528	3190115	0.62	3015	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ottowia;s__	0.95413	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ottowia	Birg_nocov.12
VLC_003	Demequina sp.	Demequina sp.	100	1.75	117555	2855939	0.68	2661	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Demequinaceae;g__Demequina;s__	0.95976	Actinobacteriota	Actinomycetia	Actinomycetales	Demequinaceae	Demequina	crabs_bin.89
VLC_004	JACXVD01 sp.	Sphingomonadaceae bacterium	100	3.47	14049	3202755	0.55	3340	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__JACXVD01;s__	0.97619	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	JACXVD01	crabs_bin.39
VLC_005	Niabella sp.	Niabella sp.	100	0.15	43839	3923749	0.37	3447	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Niabella;s__	0.97783	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Niabella	old_originals_METABAT__291-contigs
VLC_006	Denitromonas sp.	Denitromonas sp.	100	2.49	64139	4311116	0.66	4084	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Denitromonas;s__	0.98556	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Denitromonas	old_originals_METABAT__235-contigs
VLC_007	Brachymonas sp.	Brachymonas sp.	100	0.02	86269	2020663	0.61	1884	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Brachymonas;s__	0.98979	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Brachymonas	Tuerk_Half_DAS_TuerkHalves_bin.477
VLC_008	Malaciobacter mytili	Malaciobacter mytili	100	0.35	102896	2761445	0.26	2783	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Malaciobacter;s__Malaciobacter mytili	N/A	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	crabs_bin.298
VLC_009	Phascolarctobacterium faecium	Phascolarctobacterium faecium	100	0.22	133075	2339828	0.44	2154	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium	N/A	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	crabs_bin.192
VLC_010	UBA10566 sp002399565	Bacteroidales bacterium	100	1.16	37027	2451276	0.31	2195	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__UBA10566;s__UBA10566 sp002399565	N/A	Bacteroidota	Bacteroidia	Bacteroidales	P3	UBA10566	crabs_bin.5
VLC_011	Fusobacterium_A ulcerans	Fusobacterium ulcerans	99.99	0.76	30312	3545176	0.3	3454	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A ulcerans	N/A	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium_A	Tuerk_Half_DAS_TuerkHalves_bin.331
VLC_012	Parabacteroides gordonii	Parabacteroides gordonii	99.99	3.77	46561	6691659	0.44	5343	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides gordonii	N/A	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	old_originals_METABAT__476-contigs
VLC_013	Enterococcus_B sp.	Enterococcus sp.	99.97	3.1	36207	2462183	0.37	2413	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__	0.89594	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	old_originals_METABAT__363-contigs
VLC_014	Flavobacteriaceae sp.	Flavobacteriaceae bacterium	99.96	1.83	60231	3292456	0.41	2870	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__	0.96249	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae	old_originals_METABAT__24-contigs
VLC_015	Bacteroides reticulotermitis	Bacteroides reticulotermitis	99.96	2.64	74197	5427199	0.43	4309	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides reticulotermitis	N/A	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	crabs_bin.1
VLC_016	Xanthomarina gelatinilytica	Xanthomarina gelatinilytica	99.94	0.02	44161	3259468	0.35	3107	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Xanthomarina;s__Xanthomarina gelatinilytica	N/A	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Xanthomarina	Birg_Half_DAS_BirgitHalves_bin.19
VLC_017	Vibrio sp.	Vibrio sp.	99.9	0.7	89984	3648598	0.41	3281	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__	0.96614	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Tuerk_Half_DAS_TuerkHalves_bin.246
VLC_018	Bacteroides sp.	Bacteroides sp.	99.89	0.82	54058	3212730	0.41	2627	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	0.9679	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	old_originals_METABAT__164-contigs
VLC_019	Draconibacterium sp.	Draconibacterium sp.	99.85	0.37	25278	5363764	0.41	4468	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Draconibacterium;s__	0.98477	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	Tuerk_Half_DAS_TuerkHalves_bin.285
VLC_020	Vibrio fluvialis	Vibrio fluvialis	99.85	9.24	15481	4960588	0.51	5133	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio fluvialis	N/A	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Tuerk_Half_DAS_TuerkHalves_maxbin.383
