bin_name,completeness,contamination,group,coding_density,contig_N50,average_gene_length,genome_size,GC_content,total_coding_sequences,classification,fastani_reference,fastani_reference_radius,fastani_taxonomy,fastani_ani,fastani_af,closest_placement_reference,closest_placement_radius,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,pplacer_taxonomy,classification_method,note,"other_related_references(genome_id,species_name,radius,ANI,AF)",msa_percent,translation_table,red_value,warnings
Tuerk_Half_DAS_TuerkHalves_bin.177,98.03,0,1_good_quality,0.922,50830,310.5405594,1441107,0.35,1430,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Anaerorhabdus;s__,N/A,N/A,N/A,N/A,N/A,GCF_900167375.1,95,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Anaerorhabdus;s__Anaerorhabdus furcosa,77.27,0.129,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Anaerorhabdus;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,N/A,93.94,11,0.9044,N/A
crabs_bin.374,97.67,0,1_good_quality,0.892,132787,335.0788231,3097080,0.52,2753,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Parahaliea;s__,N/A,N/A,N/A,N/A,N/A,GCF_017255185.1,95,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Parahaliea;s__Parahaliea mediterranea_A,77.62,0.171,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Parahaliea;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCF_008064635.1, s__Parahaliea aestuarii, 95.0, 77.48, 0.181; GCF_008064665.1, s__Parahaliea maris, 95.0, 77.45, 0.16; GCF_003402235.1, s__Parahaliea mediterranea, 95.0, 77.44, 0.19; GCF_014077625.1, s__Parahaliea sp014077625, 95.0, 77.16, 0.093",97.66,11,0.9524,N/A
old_originals_METABAT__333-contigs,91.01,0,1_good_quality,0.841,38858,338.0074906,2573578,0.33,2136,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum;s__,N/A,N/A,N/A,N/A,N/A,GCF_900105455.1,95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum;s__Tenacibaculum sp900105455,76.11,0.136,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCF_003867075.1, s__Tenacibaculum mesophilum, 95.0, 76.56, 0.114; GCF_003664185.1, s__Tenacibaculum discolor, 95.0, 76.52, 0.117; GCA_018456245.1, s__Tenacibaculum sp018456245, 95.0, 76.46, 0.129; GCF_003867015.1, s__Tenacibaculum singaporense, 95.0, 76.45, 0.121; GCF_001693415.1, s__Tenacibaculum soleae, 95.0, 76.34, 0.135; GCF_003610735.1, s__Tenacibaculum lutimaris, 95.0, 76.29, 0.105; GCF_003387615.1, s__Tenacibaculum gallaicum, 95.0, 76.28, 0.116; GCF_014062345.1, s__Tenacibaculum pelagium, 95.0, 76.27, 0.109; GCF_004363005.1, s__Tenacibaculum caenipelagi, 95.0, 76.27, 0.1; GCF_001936575.1, s__Tenacibaculum agarivorans, 95.0, 76.27, 0.106; GCF_900119795.1, s__Tenacibaculum maritimum, 95.0, 76.23, 0.101; GCF_900105985.1, s__Tenacibaculum sp900105985, 95.0, 76.21, 0.15; GCF_002120225.1, s__Tenacibaculum holothuriorum, 95.0, 76.2, 0.109; GCF_900239185.1, s__Tenacibaculum finnmarkense_A, 96.8963, 76.19, 0.112; GCF_002813915.1, s__Tenacibaculum sp002813915, 95.0, 76.13, 0.083; GCF_900239495.1, s__Tenacibaculum finnmarkense, 96.8963, 76.12, 0.093; GCF_002954385.1, s__Tenacibaculum sp002954385, 95.0, 76.11, 0.09; GCF_002836595.1, s__Tenacibaculum sp002836595, 95.0, 76.06, 0.114; GCF_900198195.1, s__Tenacibaculum jejuense, 95.0, 76.04, 0.103; GCF_900239345.1, s__Tenacibaculum dicentrarchi, 95.0, 76.01, 0.112; GCF_004345825.1, s__Tenacibaculum skagerrakense, 95.0, 75.99, 0.084; GCF_004337695.1, s__Tenacibaculum sp004337695, 95.0, 75.97, 0.108; GCF_008806755.1, s__Tenacibaculum aiptasiae, 95.0, 75.96, 0.125; GCF_900239505.1, s__Tenacibaculum piscium, 95.0, 75.95, 0.107; GCF_008124875.1, s__Tenacibaculum adriaticum, 95.0, 75.93, 0.115; GCF_000430545.1, s__Tenacibaculum ovolyticum, 95.0, 75.88, 0.122; GCA_004762155.1, s__Tenacibaculum sp004762155, 95.0, 75.74, 0.125",95.47,11,0.97551,N/A
Tuerk_Half_DAS_TuerkHalves_bin.122,99.55,0.01,1_good_quality,0.89,22158,335.1931365,2826470,0.36,2506,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aestuariibaculum;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aestuariibaculum;s__,taxonomic novelty determined using RED,classification based on placement in class-level tree,N/A,95.61,11,0.97296,N/A
Tuerk_Half_DAS_TuerkHalves_bin.261,91.92,0.01,1_good_quality,0.913,13064,303.8655089,2466470,0.49,2476,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Xiphinematobacteraceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Xiphinematobacteraceae;g__;s__,taxonomic novelty determined using RED,classification based on placement in class-level tree,N/A,80.18,11,0.75031,N/A
Tuerk_Half_DAS_TuerkHalves_bin.477,100,0.02,1_good_quality,0.883,86269,316.2765393,2020663,0.61,1884,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Brachymonas;s__,N/A,N/A,N/A,N/A,N/A,GCA_018054915.1,95,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Brachymonas;s__Brachymonas sp018054915,86.43,0.818,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Brachymonas;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCF_900110225.1, s__Brachymonas denitrificans, 95.0, 79.49, 0.429; GCF_907163135.1, s__Brachymonas denitrificans_A, 95.0, 79.38, 0.452; GCF_000374625.1, s__Brachymonas chironomi, 95.0, 79.13, 0.387; GCA_017996515.1, s__Brachymonas sp017996515, 95.0, 78.83, 0.48; GCA_012729605.1, s__Brachymonas sp012729605, 95.0, 78.8, 0.358; GCA_017993135.1, s__Brachymonas sp017993135, 95.0, 77.47, 0.216",99.15,11,0.98979,Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Birg_Half_DAS_BirgitHalves_bin.19,99.94,0.02,1_good_quality,0.898,44161,314.6276151,3259468,0.35,3107,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Xanthomarina;s__Xanthomarina gelatinilytica,GCF_000348685.1,95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Xanthomarina;s__Xanthomarina gelatinilytica,95.81,0.781,GCF_000348685.1,95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Xanthomarina;s__Xanthomarina gelatinilytica,95.81,0.781,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Xanthomarina;s__,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCF_008084905.1, s__Xanthomarina maritima, 95.0, 80.3, 0.57; GCF_003148645.1, s__Xanthomarina spongicola, 95.0, 80.28, 0.531; GCA_003144015.1, s__Xanthomarina sp003144015, 95.0, 80.27, 0.56; GCF_014638915.1, s__Xanthomarina arctica, 95.0, 79.73, 0.547; GCA_002366675.1, s__Xanthomarina sp002366675, 95.0, 79.63, 0.499",98.57,11,N/A,N/A
Tuerk_Half_DAS_TuerkHalves_bin.438,99.02,0.02,1_good_quality,0.879,79325,351.6879963,2568125,0.38,2141,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Mangrovibacterium;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Mangrovibacterium;s__,taxonomic novelty determined using RED,classification based on placement in class-level tree,N/A,93.84,11,0.91701,N/A
old_originals_METABAT__200-contigs,93.4,0.03,1_good_quality,0.847,34864,319.2078635,3904114,0.34,3459,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerocolumna;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerocolumna;s__,ANI,classification based on placement in class-level tree,"GCF_009931695.1, s__Anaerocolumna sedimenticola, 95.0, 78.18, 0.151; GCF_014218335.1, s__Anaerocolumna cellulosilytica, 95.0, 78.15, 0.151; GCF_900115365.1, s__Anaerocolumna aminovalerica, 95.0, 77.78, 0.123; GCA_002294045.1, s__Anaerocolumna sp002294045, 95.0, 77.7, 0.108; GCF_014218355.1, s__Anaerocolumna sp014218355, 95.0, 77.53, 0.119; GCF_000702945.1, s__Anaerocolumna sp000702945, 95.0, 77.53, 0.155; GCF_900142215.1, s__Anaerocolumna jejuensis, 95.0, 77.4, 0.114; GCF_900143645.1, s__Anaerocolumna xylanovorans, 95.0, 77.33, 0.099; GCA_002434335.1, s__Anaerocolumna sp002434335, 95.0, 77.23, 0.139; GCA_015655075.1, s__Anaerocolumna sp015655075, 95.0, 77.16, 0.073; GCA_015655565.1, s__Anaerocolumna sp015655565, 95.0, 76.77, 0.094",91.26,11,0.92508,N/A
old_originals_METABAT__248-contigs,99.35,0.05,1_good_quality,0.902,81435,302.0399123,2287072,0.33,2280,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UJ101;g__UJ101;s__,N/A,N/A,N/A,N/A,N/A,GCA_001880285.1,95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UJ101;g__UJ101;s__UJ101 sp001880285,78.83,0.536,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UJ101;g__UJ101;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,N/A,97.62,11,0.94913,Genome not assigned to closest species as it falls outside its pre-defined ANI radius
